大專院校名稱,補助計畫摘要,補助計畫,補助經費
國立嘉義大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,1789000
國立臺東大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,16086000
國立臺灣藝術大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,3096000
國立成功大學,109年國立大學校院校務及附設醫院基金補助-國立成功大學.勤益科技大學3月份 01--304510,國立大學校院校務及附設醫院基金,55185000
國立勤益科技大學,109年國立大學校院校務及附設醫院基金補助-國立成功大學.勤益科技大學3月份 01--304510,國立大學校院校務及附設醫院基金,6000000
國立臺灣大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,890000
國立臺灣海洋大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,150000
國立臺灣科技大學,補助108年「科技大學推動國際技術人才培育學院試辦計畫」 03--304510,技術職業教育行政及督導,4400000
國立臺北教育大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,1060000
國立中山大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,188000
國立高雄科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,175000
國立東華大學,潔能系統整合與應用人才培育區域推動中心計畫 07--304510,資訊與科技教育行政及督導,3500000
國立高雄科技大學,潔能系統整合與應用人才培育區域推動中心計畫 07--304510,資訊與科技教育行政及督導,1050000
國立交通大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--304510,資訊與科技教育行政及督導,250000
國立中央大學,潔能系統整合與應用人才培育區域推動中心計畫 07--304510,資訊與科技教育行政及督導,1837000
國立成功大學,補助購置體育器材設備及改善室外教學游泳池設施 04--304510,高等教育行政及督導,14000000
國立臺北大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,197000
國立勤益科技大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--304510,資訊與科技教育行政及督導,1350000
國立清華大學,109年度新工程教育方法實驗與建構計畫-A類計畫補助款 07--304510,資訊與科技教育行政及督導,1000000
國立臺灣大學,109年度「生醫產業與新農業跨領域人才培育計畫」-A類「生醫產業與新農業學產研鏈結人才培育計畫」 07--304510,資訊與科技教育行政及督導,300000
國立陽明大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,300000
國立臺灣大學,109年度「生醫產業與新農業跨領域人才培育計畫」-A類「生醫產業與新農業學產研鏈結人才培育計畫」 07--304510,資訊與科技教育行政及督導,60000
國立中山大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,185000
國立屏東科技大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,300000
國立嘉義大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,200000
國立金門大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,200000
國立成功大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,350000
國立臺灣科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,830000
國立臺灣師範大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,142000
國立成功大學,109年度生醫產業與新農業跨領域人才培育計畫A類夥伴學校、B類計畫及推動總中心計畫經費 07--304510,資訊與科技教育行政及督導,250000
國立臺北教育大學,109年國立大學校院校務及附設醫院基金補助-北教.中興.北科.空大3月份 01--304510,國立大學校院校務及附設醫院基金,6107000
